Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT24-12498,"Peyre (La),",dépendance,"
Andrivaux
",24102,"
dépendance d'
Andrivaux
 (O.S.J.)."
DT24-17293,"Vaure (La),",lieu,"
Andrivaux
",24102,"
lieu, auprès d'
Andrivaux
."
DT24-14742,"Ronhac,",ancien fief,"
Ans
",non,"
ancien fief relevant d'
Ans
."
DT24-05565,"Ébrardie (L'),",ancien fief,"
Auberoche
",non,"
ancien fief relevant d'
Auberoche
."
DT24-05612,"Elle (L'),",ruisseau,"
Ayen
",19015,"
ruisseau qui a sa source à 
Ayen
, dans le département de la Corrèze, passe à Villac, à Muratel, et après avoir reçu le Gourgeou, le Cussat et le Rebeyrou, se jette dans la Vézère auprès de la Ville-Dieu."
DT24-15934,"Saint-Vincent,",ancienne paroisse,"
Badefol-la-Linde
",24022,"
ancienne paroisse de 
Badefol-la-Linde
, dont le titre fut réuni à l'église de Pontours."
DT24-07269,"Ga-de-Lobaris,",,"
Bessède
",non,"dans la 
Bessède
."
DT24-09978,"Malafaye,",,"
Bessède
",non,"dans la 
Bessède
 ?"
DT24-09770,"Lolm (Place de),",,"
Bigaroque
",24142,"à 
Bigaroque
 ; confronte avec le ruisseau de la Touaille."
DT24-16854,"Touaille (La),",ruisseau,"
Bigaroque
",24142,"
ruisseau qui passe à 
Bigaroque
."
DT24-17612,"Vic (Bas-),",hameau,"
Bigaroque
",24142,"
hameau à 400 mètres de 
Bigaroque
."
DT24-18366,"Orme (L'),",,"
Bigaroque
",24142,"à 
Bigaroque
."
DT24-08364,"Gualandou,",hameau et chemin,"
Birol
",non,"
hameau et chemin tendant de la Linde à 
Birol
, 1748 (Acte not.)."
DT24-15204,"Ruschel (Le),",ruisseau,"
Bleynie
",non,"
ruisseau qui passe à la 
Bleynie
, commune de Saint-Félix-de-Villadeix, et afflue au Caudau."
DT24-14833,"Rouby (Go de),",,"
Blis
",non,"à 
Blis
, commune d’Eymet."
DT24-15121,"Rouveret (Le),",terres,"
Bost-de-Sarazignac
",non,"
terres au 
Bost-de-Sarazignac
, commune de Valeuil (A. Jud.)."
DT24-16028,"Sale-Verte (La),",minière,"
Bourzac
",non,"nom de la minière de 
Bourzac
, commune de Saint-Pierre-de-Chignac."
DT24-04894,"Coustal (Le),",lieu-dit,"
Boyer
",non,"
lieu-dit à 
Boyer
, commune de Lanquais (terr.)."
DT24-01424,"Boch (Le),",ruisseau,"
Brenac
",non,"
ruisseau, affluent de la Vézère ; il passe à 
Brenac
."
DT24-14504,"Rieu (Le Petit-),",ruisseau,"
Buzet
",non,"
ruisseau de la Double qui se dirige du sud au nord, passe au 
Buzet
 et se jette dans l'Ille au port de Menesplet."
DT24-04178,"Cimetière (Au),",lieu-dit,"
Candillac
",non,"
lieu-dit à 
Candillac
, commune de Clérans."
DT24-12931,"Piégut,",hameau,"
Carteire
",non,"ancien nom du hameau de 
Carteire
, commune de Manzac (Dives)."
DT24-05266,"Cussat,",ruisseau,"
Cataly
",non,"
ruisseau qui se jette dans l'Elle à 
Cataly
, commune de Villac."
DT24-04267,"Clérans,",ancienne paroisse,"
Cause
",non,"
ancienne paroisse réunie à 
Cause
, commune, canton de la Linde."
DT24-08082,"Gouzou (Le),",ruisseau,"
Cénac
",24091,"
ruisseau qui se jette dans la Dordogne à 
Cénac
."
DT24-06132,"Favar (Le),",ruisseau,"
Chadourgnac
",non,"
ruisseau dont la source est à 
Chadourgnac
, commune de Thiviers ; il forme le vallon d'Eyzerat et se jette dans la Drone à Corgnac."
DT24-15391,"Sainte-Catherine,",chapelle,"
Chancelade
",24102,"
chapelle à 
Chancelade
."
DT24-03620,"Chantreix,",ruisseau,"
Chantreix
",non,"
ruisseau qui a sa source auprès de la Jaunie, passe à 
Chantreix
 et se jette dans la Drone vis-à-vis de Saint-Pardoux-la-Riviere."
DT24-04201,"Civade (La),",ruisseau,"
Chapelie
",non,"
ruisseau, affluent de l'Ille, qui a sa source à la 
Chapelie
, commune de Chantérac."
DT24-12345,"Périgueux (Château de),",,"
Cité
",24322,"à la 
Cité
."
