Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT21-04297,"Meix-Moron (Le),",ancien fief,"
Aisey-le-Duc
",21006,"
ancien fief, à 
Aisey-le-Duc
"
DT21-03687,"Laitie (La),",ruisseau,"
Athie-sous-Moutier
",21029,"
ruisseau qui se jette dans l’Armançon à 
Athie-sous-Moutier
 et qui vient de Pouligny"
DT21-00816,"Bornant (Le),",ruisseau,"
Bierry-les-Belles-Fontaines
",89042,"
ruisseau venant de 
Bierry-les-Belles-Fontaines
 (Yonne), qui se jette dans l’Armançon entre Aisy-sous-Rougemont (Yonne) et Quincy-le-Vicomte, 51où il sert de limite entre les deux départements"
DT21-06944,"Tour-Charotte,",fief,"
Boux
",21098,"
fief, à 
Boux
 (Nouv état général)"
DT21-05677,"« Quartaniacum »,",lieu indéterminé,"
Brenne
",non,"
lieu indéterminé, qui était situé sur la 
Brenne
"
DT21-02191,"Cour-du-Verrey (La),",ancien fief,"
Bussy-le-Grand
",non,"
ancien fief qui relevait de 
Bussy-le-Grand
"
DT21-03558,"Huet,",un des moulins,"
Bussy-le-Grand
",21122,"ancien nom d’un des moulins de 
Bussy-le-Grand
"
DT21-04463,"Montagne (La),",quartier,"
Bussy-le-Grand
",21122,"
quartier de 
Bussy-le-Grand
"
DT21-04723,"Moulin-aux-Dames (Le),",un des moulins,"
Bussy-le-Grand
",21122,"ancien nom d’un des moulins de 
Bussy-le-Grand
"
DT21-04902,"Moulin-Neuf (Le),",un des moulins,"
Bussy-le-Grand
",21122,"ancien nom d’un des moulins de 
Bussy-le-Grand
"
DT21-05381,"Pissot (Le),",ancien hameau,"
Bussy-le-Grand
",21122,"
ancien hameau, incorporé à 
Bussy-le-Grand
"
DT21-05870,"Rivière (La),",partie,"
Bussy-le-Grand
",21122,"
partie de 
Bussy-le-Grand
, jadis distincte"
DT21-01271,"Chalonnais (Le),",région,"
Chalon-sur-Saône
",non,"
région qui avait pour chef-lieu 
Chalon-sur-Saône
, pagus et comté de l’époque franque"
DT21-05142,"Oscheret (L’),",pagus et comté,"
Chalon-sur-Saône
",non,"
pagus et comté, doyenné du diocèse de 
Chalon-sur-Saône
"
DT21-05263,"Peaudoye,",fief,"
Château-Neuf
",non,"
fief, de la famille de ce nom ; il relevait de 
Château-Neuf
"
DT21-00698,"« Boixandre »,",moulin,"
Châtillon
",21154,"
moulin qui était sur la Seine, à 
Châtillon
"
DT21-04625,"Morvan (Le),","région naturelle, montagneuse et forestière","
Côte-d’Or
",non,"
région naturelle, montagneuse et forestière, qui s’étendait sur le pagus Nivernensis et sur la partie nord du pagus Augustodunensis ; une partie est comprise dans le département de la 
Côte-d’Or
, au sud-ouest"
DT21-06910,"Tonnerrois (Le),","pagus et comté, archidiaconé et doyenné du diocèse de Langres","
Côte-d’Or
",non,"
pagus et comté, archidiaconé et doyenné du diocèse de Langres, qui s’étendaient sur une partie du département actuel de la 
Côte-d’Or
"
DT21-02585,"Étang-de-Chaume (Ruisseau de l’),",,"
Courcelles-lez-Frémoy
",21203,"affluent du Serein, venant de 
Courcelles-lez-Frémoy
"
