article,output6.xml,DT65.xml
DT65-00001,"communes d'Uz, d'Artalens-Souin et d'Argelès-de-Lavedan.","communes d'Uz, d'Artalens-Souin et d'Argelès de Lavedan."
DT65-00004,"commune de Maubourguet E (devenu ferme Lafitte)
         .",commune de Maubourguet E (+devenu ferme Lafitte)         .
DT65-00026,"commune de Campan (Bagnères O ?)
          :",commune de Campan (+Bagnères O ?)          :
DT65-00030,"commune de Saint-Pé S, limite Ségus
          :","commune de Saint-Pé S, +limite Ségus          :"
DT65-00032,"commune de Tabiran, au village
         .","commune de Tabiran, +au village         ."
DT65-00045,"commune de Sers NE
          :",commune de (Betpouey) +Sers NE          :
DT65-00059,"commune de (Uz) Nestalas N
          (",commune de (Uz) +Nestalas N          (
DT65-00064,"commune de Marsous NO
         .",commune de (Arbéost) +Marsous NO         .
DT65-00083,"canton de Nestier, aujourd'hui de Saint-Laurent SO, ","canton de Nestier, +aujourd'hui de St Laurent SO, "
DT65-00101,vallée de Barousse (fundus des Antistii) :,vallée de Barousse (+fundus des Antistii) :
DT65-00107,"commune de Peyraube NE
         , affluent de la Catarisse.","commune de (Clarac) +Peyraube NE         , affluent de la Catarisse."
DT65-00112,"commune de Gaillagos, Arcizans, Arras
         .","commune de (Salles) +Gaillagos, Arcizans, Arras         ."
DT65-00113,"commune de Sazos S
          :",commune de (Luz) +Sazos S          :
DT65-00120,chaîne du Bigorre (Ancizan O).,chaîne du Bigorre (+Ancizan O).
DT65-00137,"commune de Saint-Lary SO
          (2939 m) :",commune de (Aragnouet) +Saint-Lary SO          (2939 m) :
DT65-00148,"plan de Pouts (gouffre de Poudac), traverse le ","plan de Pouts (+gouffre de Poudac), traverse le "
DT65-00174,"commune de Arcizans-avant S
         , +altitude 2018 m.","commune de (Nestalas) +Arcizans-avant S         , +altitude 2018 m."
DT65-00202,"commune d'Avezac-Prat
         .",commune d'Avezac Prat         .
DT65-00203,"commune de Escots SO
         .",commune de (Banios) +Escots SO         .
DT65-00204,"commune de Beaucens SE
         .",commune de (Villelongue) +Beaucens SE         .
DT65-00215,"village de Villenave, ","village de Viellenave         , "
