Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT30-00137,"Alzonenque (L'),",portion du ,"
",non,"
portion du pagus
 

Arisitensis
, qui comprenait une grande partie du canton actuel d'Alzon, le long de la Vis, appelée autrefois rivière d'Alzon, rivière d'Alzonenque."
DT30-03021,"Gerle,",branche,"
",non,"nom d'une branche qui se détache du Vistre à l'embouchure de la Cubelle et forme les deux îles appelées 
Grand-Bagarel
 et 
Petit-Bagarel
 
(voy. ces noms)."
DT30-03021,"Gerle,",branche,"
",non,"nom d'une branche qui se détache du Vistre à l'embouchure de la Cubelle et forme les deux îles appelées 
Grand-Bagarel
 et 
Petit-Bagarel
 
(voy. ces noms)."
DT30-04737,"Némausenc (Le), Némozès (Le),",,"
",non,"représentait le 
pagus Nemausensis
."
DT30-07091,"Val de Jouffe (Le),",subdivision,"
",non,"
subdivision du 
pagus Uzeticus
."
DT30-07211,"Vaunage (La),",portion du ,"
",non,"
portion du pagus
 

Nemausensis
 située au-dessous de la Gardonnenque (vallis Gardonica) et qui la sépare de la région des Marais (Litoraria)."
DT30-07389,"Virenque (La),",portion> du ,"
",non,"
portion> du pagus
 

Arisitensis
 arrosée par la Vis et la Virenque et qui comprenait les villages de Campestre-et-Luc, Vissec, Blandas, Rogues et Saint-Laurent-le-Minier."
DT30-00877,"Boucanet (Le),",plage,"
Aiguesmortes
",30003,"
plage d'
Aiguesmortes
."
DT30-00946,"Bourgidou (Le Canal du),",,"
Aiguesmortes
",non,"fait communiquer le canal de Beaucaire à 
Aiguesmortes
 avec le canal de Sylvéréal et la roubine de Peccais."
DT30-04807,"Notre-Dame-du-Sablon,",église,"
Aiguesmortes
",30003,"
église dans 
Aiguesmortes
."
DT30-05630,"Radelle (Canal de la),",,"
Aiguesmortes
",non,"fait communiquer le canal de Beaucaire à 
Aiguesmortes
 avec l'étang de Mauguio (Hérault)."
DT30-05931,"Roubine (Canal de la Grande-),",,"
Aiguesmortes
",non,"fait suite au canal de Beaucaire à 
Aiguesmortes
 et mène directement d'Aiguesmortes à la mer."
DT30-02487,"Faverolles,",ruisseau,"
Aire-de-Côte
",non,"
ruisseau qui prend sa source dans la montagne appelée l'
Aire-de-Côte
 et se jette dans la Borgne sur le Saint-André-de-Valborgneterritoire de la commune de ."
DT30-06169,"Saint-Étienne,",église paroissiale,"
Anduze
",30010,"
église paroissiale, à 
Anduze
."
DT30-00508,"Bastide (La),",ruisseau,"
Bastide
",non,"
ruisseau qui prend sa source à la 
Bastide
, commune de Gailhan, et se jette dans le Vidourle sur le territoire de la même commune."
DT30-02225,"Doctrinaires (Les),",chapelle,"
Beaucaire
",30032,"
chapelle à 
Beaucaire
, bâtie vers le milieu du xvii
e siècle pour le collége des Doctrinaires de Beaucaire."
DT30-03334,"Jarnègue,",île du Rhône,"
Beaucaire
",30032,"
île du Rhône, entre 
Beaucaire
 et Tarascon, aujourd'hui réunie par atterrissement à la commune de Tarascon."
DT30-04771,"Notre-Dame-de-Beauregard,",église,"
Beaucaire
",30032,"
église de 
Beaucaire
, construite en 1682, démolie en 1810 (Forton, Nouv. Rech. hist. sur Beaucaire)."
DT30-04774,"Notre-Dame-de-Bonne-Aventure,",ancienne chapelle,"
Beaucaire
",30032,"
ancienne chapelle dans 
Beaucaire
, démolie en 1830 (Forton, Nouv. Rech. hist. sur Beaucaire)."
DT30-04775,"Notre-Dame-de-Bon-Voyage,",ancienne chapelle,"
Beaucaire
",30032,"
ancienne chapelle dans 
Beaucaire
, détruite en 1804 (Forton, Nouv. Rech. hist. sur Beaucaire)."
DT30-04802,"Notre-Dame-des-Pommiers,",église principale,"
Beaucaire
",30032,"
église principale de 
Beaucaire
."
DT30-04804,"Notre-Dame-de-Vie,",chapelle,"
Beaucaire
",30032,"
chapelle dans 
Beaucaire
, rue de la Condamine."
DT30-06102,"Saint-Celse-et-Saint-Nazaire,",ancienne église paroissiale,"
Beaucaire
",30032,"
ancienne église paroissiale de 
Beaucaire
."
DT30-06151,"Sainte-Élisabeth,","chapelle, aujourd'hui détruite","
Beaucaire
",30032,"
chapelle, aujourd'hui détruite, à 
Beaucaire
."
