Vedette Longue (>30chars)
out:DT76-00166 Ancien-Cimetière de Crosville (L'),
out:DT76-00174 Ancien-Moulin-d'Etainemare (L'),
out:DT76-00228 Angle (Ruisseau de l') ou de la Planquette
out:DT76-00398 Arrière-fief-de-Tancarville (L'),
out:DT76-00495 Aumale (Abbaye-Saint-Martin d'), ou d'
out:DT76-00607 Authieux (Les), Authieux-sur-Clères (Les),
out:DT76-00613 Authieux-Saint-Adrien-du-Bosc-Théroulde (Les),
out:DT76-00614 Authieux-sur-le-Port-Ouen (Les),
out:DT76-00679 Avesnes-de-Graincourt-et-d'Ancourt (Les),
out:DT76-00789 Banc-au-Mortier ; Banc-aux-Marches,
out:DT76-01696 Bignette (La Grande et la Petite),
out:DT76-02456 Borne-des-Mares, (Chemin de la),
out:DT76-02695 Bosquereau du Sgr. du Hazé (Le),
out:DT76-02991 Bout-d'Amont (Le), Bout-d'Aval (Le),
out:DT76-02992 Bout-d'Amont (Le), Bout-d'Aval (Le),
out:DT76-02993 Bout-d'Amont (Le), Bout-d'Aval (Le),
out:DT76-02994 Bout-d'Amont (Le), Bout-d'Aval (Le),
out:DT76-02995 Bout-d'Amont (Le), Bout-d'Aval (Le),
out:DT76-03928 Buquet-Maistre-Jean-Raulin (Le),
out:DT76-04215 Caillouville (Riv. ou ruis. de),
out:DT76-05034 Carrefour-des-Treize-Chemins (?) (Le),
out:DT76-05414 Cavée-de-Saint-Martin (chemin de Canville à 
out:DT76-05425 Cavée-du-Mesnil-à-la-Lombardie (La),
out:DT76-05429 Cavée-du-Moulin (La) (Chemin de la),
out:DT76-05472 Cavées-du-Chemin-de-Fécamp (Les),
out:DT76-05634 Champ-d'Oisel (Le Grand et le Petit),
out:DT76-05726 Chantrerie (Saint-Nicolas de la),
out:DT76-05860 Chassemarées (Grand chemin des),
out:DT76-06672 Cimetière-aux-Anglais (place nommée : Le),
out:DT76-06978 Clos-de-la-Fontaine-de-l'eau-du-Val,
out:DT76-07390 Commune-de-Hasteville (Atteville) (La),
out:DT76-07397 Commune-de-la-Ville-de-Quevilly,
out:DT76-07405 Commune d'Infrainville (La) (Vinfrainville),
out:DT76-07439 Commune-Pature-de-l'Eglise (La),
out:DT76-07477 Communes-de-Sausseuzemare (Les),
out:DT76-07514 Condos-de-l'Abbaye-Sainte-Catherine (Les),
out:DT76-07918 Côtes-de-Sainte-Austreberte (Les),
out:DT76-07943 Cotil-de-la-Rue-de-Champagne (Le),
out:DT76-08120 Courtes-Pièces-de-la-Grande-Croix (Les),
out:DT76-08143 Courtils-du-Mesnil-Claque (Les),
out:DT76-08220 Couture (La Grande et la Petite),
out:DT76-08224 Couture-à-la-Comtesse-d'Eu (La),
out:DT76-08225 Couture-à-la-Dame-de-Clais (La),
out:DT76-08231 Couture-aux-Agneaux (Fief de la),
out:DT76-08242 Couture-de-la-Grande-Croix (La),
out:DT76-08253 Couture-du-bout-de-la-Ville (La),
out:DT76-08254 Couture-du-Camp-Saint-Pierre (La),
out:DT76-08312 Crémaillon (Le), Crémaillons (Les), Cramillon (Le) ou 
out:DT76-08376 Crique (La), Crique-de-la-Croix-Tallent (La),
out:DT76-08605 Croixdalle (Ch. Saint Hubert de),
out:DT76-08665 Croix-de-l'Orgeril, Lorgeril ou 
out:DT76-08693 Croix-de-Robert-d'Estouteville (La),
out:DT76-08734 Croix-du-Bas-de-Neufmesnil (La),
out:DT76-08790 Croix-Guillaume-Lorguilleux (La),
out:DT76-08845 Croix-Messire-Guillaume-Doullie,
out:DT76-08966 Crotte-des-Noix (La) ; Crotte-Hardel (La),
out:DT76-09063 Dame-de-la-Haie-Gonnor (Les Bois de la),
out:DT76-09099 Davidville, Daville, Davilette, ou 
out:DT76-09249 Domaine-de-Pontrève ou Pontrevé,
out:DT76-09488 Ecouflards (La Route et can. des),
out:DT76-10235 Etruissards (Les). — Grands Etruissards (Les),
out:DT76-10406 Fay (Le), Grand-Fay (Le), Petit Fay (Le),
out:DT76-10720 Fieffes-de-saint-Baudille (Les),
out:DT76-10743 Fief Nicolle Eudeline du Bellet,
out:DT76-11091 Fond-des-Vaux-de-Beuzevillette (Le),
out:DT76-11203 « Fondum vallis Laurencii (ad) »,
out:DT76-11292 Fontaine-d'Orgueil (Le courtil de la),
out:DT76-11294 Fontaine-d'Orival (ruisseau de la),
out:DT76-11317 Fontaine-Fortin (le ruissel de la),
out:DT76-11390 Fontaine-Sainte-Marguerite (La),
out:DT76-11422 Fontenelle (Saint-Wandrille de),
out:DT76-11575 Forières d'en Bas, Forières d'en Haut (Les),
out:DT76-12406 Friches-de-Saint-Christophe (Le),
out:DT76-12503 Froc-de-Neuville-Gouvion (rue du),
out:DT76-12696 Gare de Saint-Vaast-Bosville (La),
out:DT76-13214 Grande-Galletière (Trait de la),
out:DT76-13576 Gredellez (Les) (chateau et ham. de),
out:DT76-14172 Haistraye (La), Haistrée, Haistres, Haitre, Haitrée. Haitreau Haitrot.
out:DT76-14651 Hautes-Clairières (Buissons des),
out:DT76-14795 Haut-Trait-de-Saint-Victor (Le),
out:DT76-14864 Haye-Brétizel (manoir nommé la),
out:DT76-15155 Hermitage-de-Saint-Léonard (L'),
out:DT76-15350 Hodeng-sur-Neufchâtel (et parfois 
out:DT76-15433 Hospice de Rouen (les terres de l'),
out:DT76-15664 Huhans (le camp de la Fosse aux),
out:DT76-15791 Grande Ile. — Ilet de Cléon (L'),
out:DT76-15792 Ile-de-Dessous (L') — Ile-de-Dessus (L')
out:DT76-15861 Ile-Légarée (de-Dessus et de-Dessous) (L'),
out:DT76-16060 Jardins-de-la-Chaussée-d'Arques (Les),
out:DT76-16065 Jatte (La) (Première, la Troisième),
out:DT76-16114 Joppière-du-Sieur-Folloppe (La),
out:DT76-16261 Landes-Vieilles et Neuves (Les),
out:DT76-16884 Longueville (Comté et duché de),
out:DT76-17011 Madeleine de Rouen (Bailliage de la),
out:DT76-17110 Maison-Blanche-de-Bonne-Nouvelle,
out:DT76-17139 Maison-Forestière-de-la-Route-de-Bures,
out:DT76-17140 Maison-Forestière-du-Petit-Couronne,
out:DT76-17345 Malmaison (La) Malmaison ; (La Vieille) ; (La Nouvelle),
out:DT76-17515 Marais, Marais-Normand, Petit-Marais,
out:DT76-18470 Marinmont, Marinvin, Marinvinet,
out:DT76-18632 Masures (Les). — Grandes-Masures (Les). — Masures-Laval (Les),
out:DT76-19106 Mesnils (Les) ; (Grands-Mesnils) (Les),
out:DT76-19453 Mont-Bénard, Bas-Bénard, Haut-Bénard,
out:DT76-20204 Mortemer (Fiefferme de Roger de),
out:DT76-20249 Motte (La), Grande Motte (La), Petite Motte (La),
out:DT76-20318 Motte-au-Seigneur-de-Tendos (La),
out:DT76-21016 Moutier-de-Martainville (Tri. du),
out:DT76-21170 Neuville (Saint-Gilles et Saint-Jean de la),
