Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT44-18018,"Saint-Mars-la-Jaille,",chef-lieu de canton,arrondissement ,non,chef-lieu de canton de l’arrondissement 256d’Ancenis.
DT44-15743,"Pont-en-Vertais,",seigneurie,banlieue de Nantes,44109,seigneurie de la banlieue de Nantes au XIVe siècle dont le territoire est aujourd’hui dans la ville.
DT44-20402,"Fief-Guéheneuc (Le),",fief vassal,baronnie d’Ancenis,non,"fief vassal de la baronnie d’Ancenis (Arch. L.-Inf., E 251)."
DT44-06634,"Don (Le),",rivière,bois de Chanvaux,non,"rivière qui prend sa source à la limite du Maine-et-Loire, dans le bois de Chanvaux. Elle arrose les communes de Juigné-les-Moûtiers, Saint-Julien-de-Vouvantes, Petit-Auverné, Grand-Auverné, Moisdon, Issé, Treffieuc, Jans, Marsac, Guémené-Penfao et sépare celle de Masserac de celle d’Avessac. Elle se jette dans la Vilaine au lac Murin. Sa longueur est de 104 kilomètres."
DT44-07194,"Falleron (Le),",rivière,Bouin,85029,"rivière qui prend sa source en Vendée. Elle longe les communes de Touvoie et de Saint-Etienne-de-Mermorte, et arrose Paulx et Machecoul où elle se divise en deux branches appelées les étiers de la Taillée et de la Gravelle, puis elle rentre en Vendée sous le nom d’étier du Fresne. Elle se jette dans la baie de Bourgneuf au sud de Bouin (Vendée)."
DT44-15977,"Porzic (Le),",métairie,bourg d’Herbignac,44072,"métairie au bourg d’Herbignac, dépendant du marquisat d’Assérac, 1681 (Arch. L.-Inf., B 1504, f° 1350)."
DT44-04481,"Chateau-Gaillard (Le),",habitation,bourg de Batz,44010,habitation au bourg de Batz.
DT44-20369,"Chapelle (La),",habitation,bourg de Bouvron,44023,"habitation au bourg de Bouvron, XVIIIe siècle (Arch. L.-Inf., G 362)."
DT44-09720,"Héardière (La),",habitation,bourg de la Chapelle-Bassemer,44029,habitation au bourg de la Chapelle-Bassemer.
DT44-01731,"Blanchardière (La),",manoir,bourg de Petit-Mars,44122,manoir au vieux bourg de Petit-Mars.
DT44-19152,"Tour (La),",village,bourg de Port-Saint-Père,44133,village faisant partie du bourg de Port-Saint-Père.
DT44-07061,"Erdre (L’),",rivière,Brest,non,"rivière qui prend sa source près du Loroux-Bécannais (Maine-et-Loire). Elle arrose les communes de Saint-Mars-la-Jaille, Bonnœuvre, Riaillé, Trans, Joué, Nort, Sucé, la Chapelle-sur-Erdre, Petit-Mars, Saint-Mars-du-Désert, Carquefou, Nantes. Elle se jette dans la Loire à Nantes. De Nantes à Nort elle est canalisée et fait partie du canal de Nantes à Brest. Elle a pour affluents le Cens et le ruisseau de la Verrière ou de Gesvres."
DT44-03267,"Brivet (Le),",rivière,Brière,non,"rivière qui prend sa source au nord des marais de Cambon. Elle arrose les communes de Cambon, Quilly, Guenrouët, Saint-Gildas-des-Bois, Sainte-Anne-de-Cambon, Drefféac, Pontchâteau, Besné, Crossac, Saint-Joachim, Montoir et se jette dans la Loire à Méans après avoir traversé la Brière."
DT44-02824,"Bouteville,",fontaine,Careil,44069,"fontaine à Careil, commune de Guérande, 1749 (Arch. L.-Inf., B 1456)."
DT44-19591,"Vallée (La),",habitation,Careil,44069,"habitation à Careil, commune de Guérande, 1679 (Arch. L.-Inf., B 1503, f° 1022). — saline, même commune."
DT44-20368,"Chapeau-Rouge (Le),",habitation,château de Blain,44015,"habitation « sur les pavés du château de Blain », réunie à l’Hôpital de la ville en 1726 (Arch. de l’Hôp. de Blain, A 1)."
DT44-00028,"Acigné,",châtellenie,châtellenie de Cordemais,44045,"châtellenie au XVe siècle, devenue la châtellenie de Cordemais."
DT44-06696,"Douille (La rue au),",,Clis,44069,à Clis.
DT44-16438,"Puy-Geffray (La rue du),",,Clis,44069,"à Clis, 1635 (Arch. L.-Inf., B 1481)."
DT44-18393,"Sèvre-Nantaise (La),",rivière,Clisson Gorges,44043/44064,"rivière qui prend sa source dans le département des Deux-Sèvres et entre dans celui de la Loire-Inférieure après avoir traversé la Vendée et le Maine-et-Loire. Elle arrose Getigne, Clisson Gorges, le Pallet, Monniere, la Haie-Fouassiere, Saint-Fiacre, Vertou, et se jette dans la Loire entre Pirmil et Reze."
DT44-05256,"Clos (Le),",métairie,commune et frairie d’Avessac,44007,"métairie, commune et frairie d’Avessac."
DT44-05558,"Communais (La),",métairie,commune et frairie d’Avessac,44007,"métairie, commune et frairie d’Avessac."
DT44-10978,"Lambardière (La),",hameau,commune et frairie d’Avessac,44007,"hameau, commune et frairie d’Avessac."
DT44-12805,"Mercerais (La),",village,commune et frairie d’Avessac,44007,"village, commune et frairie d’Avessac."
DT44-15655,"Ponceaux (Les),",métairie,commune et frairie d’Avessac,44007,"métairie, commune et frairie d’Avessac."
DT44-15847,"Pordor (Le),",habitation,commune et frairie d’Avessac,44007,"habitation, commune et frairie d’Avessac."
DT44-15988,"Potel,",habitation,commune et frairie d’Avessac,44007,"habitation, commune et frairie d’Avessac."
DT44-16336,"Prise (La),",village,commune et frairie d’Avessac,44007,"village, commune et frairie d’Avessac."
DT44-18249,"Saut-au-Chevreuil (Le),",habitation,commune et frairie d’Avessac,44007,"habitation, commune et frairie d’Avessac."
DT44-11283,"Lanneguy (Le),",rocher,côte de Mesquer,44097,rocher dans l’Océan sur la côte de Mesquer.
DT44-09880,"Hikerric,",rocher,côte du Croisic,44049,rocher dans l’Océan sur la côte du Croisic.
DT44-18393,"Sèvre-Nantaise (La),",rivière,département des Deux-Sèvres,non,"rivière qui prend sa source dans le département des Deux-Sèvres et entre dans celui de la Loire-Inférieure après avoir traversé la Vendée et le Maine-et-Loire. Elle arrose Getigne, Clisson Gorges, le Pallet, Monniere, la Haie-Fouassiere, Saint-Fiacre, Vertou, et se jette dans la Loire entre Pirmil et Reze."
DT44-18341,"Semnon (Le),",rivière,départements de la Loire-Inférieure et de l’Ille-et-Vilaine,non,rivière qui délimite les départements de la Loire-Inférieure et de l’Ille-et-Vilaine sur le territoire de Soulvache.
DT44-02651,"Boulogne (La),",rivière,départements de la Loire-Inférieure et de la Vendée,non,rivière prenant sa source aux Essarts (Vendée). Elle limite les départements de la Loire-Inférieure et de la Vendée dans les communes de Saint-Colombin et de Saint-Etienne-de-Corcoué. Elle arrose Saint-Colombin et Saint-Philbert-de-Grandlieu.
DT44-07164,"Etier (Le Grand),",ruisseau,départements de la Loire-Inférieure et du Morbihan,non,"ruisseau servant de limite aux départements de la Loire-Inférieure et du Morbihan, dans la commune d’Assérac."
DT44-06609,"Divate (La),",rivière,départements du Maine-et-Loire et de la Loire-Inférieure,non,"rivière qui prend sa source entre Saint-Christophe et le Puiset-Doré (Maine-et-Loire). Elle sert de limite aux départements du Maine-et-Loire et de la Loire-Inférieure et arrose les communes de la Boissière-du-Doré, la Remaudière, le Loroux-Bottereau, Barbechat, la Chapelle-Bassemer. Elle se jette dans la Boire d’Anjou (bras de Loire)."
DT44-16441,"Puzarlès,",forêt aujourd’hui disparue,environs de Carquefou,44026,"forêt aujourd’hui disparue, située au bord de la Loire, dans les environs de Carquefou."
DT44-03279,"Brolium-Aennor,",lieu dit,environs de Chéméré,44040,"lieu dit, aux environs de Chéméré, 1172(Gallia Christ. XIV, instr. 178)."
DT44-14996,"Petra Lata,",landes,environs de Géneston,44223,"landes aux environs de Géneston (Gallia. Christ. XIV, instr. 177)."
DT44-00702,"Bathellac,",villa,environs de Saint-Gildas-des-Bois44161,44161,"villa aux environs de Saint-Gildas-des-Bois, XIIIe siècle (Bibl. Nat., ms. fr. 22319)."
DT44-01693,"Bisindinis,",villa,environs de Saint-Gildas-des-Bois,44161,"villa aux environs de Saint-Gildas-des-Bois, XIIIe siècle (Bibl. Nat. ms. fr. 22319)."
DT44-14807,"Penhalic,",terre et villa,environs de Saint-Gildas-des-Bois,44161,"terre et villa aux environs de Saint-Gildas-des-Bois, XIIIe siècle (Bibl. Nat. ms. fr. 22319)."
DT44-17832,"Sadornan,",villa,environs de Saint-Gildas-des-Bois,44161,"villa aux environs de Saint-Gildas-des-Bois, XIIIe siècle (Bibl. Nat. ms. fr. 22319)."
DT44-07493,"Fontaine-Abion (La),",habitation,environs de Savenay,44195,"habitation aux environs de Savenay, 848 (cart. Roto. p. 161)."
DT44-19044,"Torcé,",habitation et tenue,Erdre,non,"habitation et tenue à Nantes, entre la motte Saint-André et l’Erdre."
DT44-02651,"Boulogne (La),",rivière,Essarts,85084,rivière prenant sa source aux Essarts (Vendée). Elle limite les départements de la Loire-Inférieure et de la Vendée dans les communes de Saint-Colombin et de Saint-Etienne-de-Corcoué. Elle arrose Saint-Colombin et Saint-Philbert-de-Grandlieu.
DT44-19072,"Touche (La),",habitation,faubourg de Bizienne,44069,"habitation au faubourg de Bizienne, à Guerande, 1679 (Arch. L.-Inf., B 1518, f° 804)."
DT44-15916,"l'Evêché,",manoir,faubourg de Saint-Michel-de-Guérande,44069,"manoir au faubourg de Saint-Michel-de-Guérande, devenu couvent d’Ursulines, au XVIIe siècle, puis petit séminaire."
DT44-06423,"Curun,",un des cantons,forêt du Gâvre,non,nom de l’un des cantons de la forêt du Gâvre.
DT44-08914,"Grenée (La),",canton,forêt du Gâvre,non,nom d’un canton de la forêt du Gâvre.
DT44-11928,"Madeleine-d’Eff (La),",prieuré,forêt du Gâvre,non,"prieuré dans la forêt du Gâvre, dépendant de l’abbaye de Blanche-Couronne, XVe siècle."
DT44-13063,"Minières (Les),",canton,forêt du Gâvre,non,nom d’un canton de la forêt du Gâvre.
DT44-05712,"Cormier (Le Grand et le Petit),",moulin à vent,Grand-Cormier,non,"métairies, commune de Sainte-Pazanne, moulin à vent au Grand-Cormier."
DT44-14200,"Ognon (L’),",rivière,Herbergement,85108,"rivière qui prend sa source entre l’Herbergement et Saint-Sulpice-de-Verdon (Vendée) ; elle arrose Vieillevigne, la Planche, Montebert, le Bignon et se jette dans le lac de Grandlieu à Pont-Saint-Martin."
DT44-03834,"Carrée (La),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-04693,"Chédoux,",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-05165,"Clairvaux (La),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-05859,"Coudre (La),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-06924,"Ecotais (L’),",habitation,île d’Aignac,non,"habitation, commune de Saint-Joachim, île d’Aignac."
DT44-13010,"Millau (Le),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-14193,"Ocanza,",habitation,île d’Aignac,non,"habitation, commune de Saint-Joachim, île d’Aignac."
DT44-15287,"Pintré (Le),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac ; — four à chaux."
DT44-16773,"Rénais (La),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-18610,"Sourlonne,",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-20005,"Ville (La),",village,île d’Aignac,non,"village, commune de Saint-Joachim, île d’Aignac."
DT44-02984,"Brécun,",hameau et moulin,île de Bais,non,"hameau et moulin, commune de Saint-Joachim, île de Bais."
DT44-04561,"Chat-Fourré (Le),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-04698,"Chef-de-l’Ile (Le),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-07128,"Etage (L’),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-11598,"Levées (Les Grandes),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-11705,"Livrées (Les),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-12523,"Martins (Les),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-13727,"Moyons (Les),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-16028,"Pouet (Le),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-17361,"Rochette (La),",village,île de Fédrun,non,"village, commune de Saint-Joachim, île de Fédrun."
DT44-09335,"Guillardais (La),",village,île de Ménac,non,"village, commune de Saint-Joachim, île de Ménac."
DT44-03835,"Carrée (La),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-05146,"Claie-de-Mazin (La),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-05357,"Clotreaux (Les),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-07494,"Fontaine-a-Roulais (La),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-08804,"Graveau-Fourré (Le),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-11807,"Lony (Le),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-13501,"Moulin (Le Grand),",moulin à vent,île de Pendille,non,"moulin à vent, commune de Saint-Joachim, île de Pendille."
DT44-16024,"Potriais (La),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-17387,"Rodrie (La),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-20226,"Vinces (Les),",village,île de Pendille,non,"village, commune de Saint-Joachim, île de Pendille."
DT44-18766,"Teillé (La forêt de),",,Ille-et-Vilaine,non,"s’étend sur les communes de Rougé, Ruffigné et Sion et limite le département de l’Ille-et-Vilaine."
DT44-11774,"Loire (La),",fleuve,Ingrandes,49160,"fleuve qui traverse le département de l’Est à l’Ouest ; il passe à Ancenis, à Nantes, à Paimboeuf et à Saint-Nazaire. Il sépare la Loire-Inférieure du Maine-et-Loire entre Ingrandes et le Cellier."
DT44-14820,"Peninnin (La rue de),",,Kervalet,44010,à Kervalet.
DT44-18401,"Sibéon (La rue de),",,Kervalet,44010,"à Kervalet. — saline, commune de Batz."
DT44-04831,"Chenau (La),",rivière,lac de Grandlieu,non,rivière qui réunit le lac de Grandlieu au Tenu.
DT44-06634,"Don (Le),",rivière,lac Murin,non,"rivière qui prend sa source à la limite du Maine-et-Loire, dans le bois de Chanvaux. Elle arrose les communes de Juigné-les-Moûtiers, Saint-Julien-de-Vouvantes, Petit-Auverné, Grand-Auverné, Moisdon, Issé, Treffieuc, Jans, Marsac, Guémené-Penfao et sépare celle de Masserac de celle d’Avessac. Elle se jette dans la Vilaine au lac Murin. Sa longueur est de 104 kilomètres."
DT44-15104,"Pierre-au-Lièvre (La),",tenue,Le Pèlerin,44120,"tenue en Le Pèlerin, dépendant de l’abbaye de Buzay."
