Vedette Longue (>30chars)
out:DT77-00083 Ancien-Archevêque de Paris (L'),
out:DT77-00087 Ancien-Château de Montramé (L'),
out:DT77-00524 Basse-Cour (La) de l'abbaye du Jard,
out:DT77-00526 Basse-Cour-du-Plessis-Hainault (La),
out:DT77-00618 Beaulieu (Saint-Vincent et Saint-Louis de),
out:DT77-00820 Berdoudou (Le Grand et le Petit),
out:DT77-01417 Bondrolles (Les Hautes et Basses),
out:DT77-01854 Brégeons de la Grange-Gilles (Les),
out:DT77-01884 Brèthes (Les anciennes et nouvelles),
out:DT77-02683 Champ-de-la-Grange-du-Poncet (Le),
out:DT77-03294 Châtelet-lès-les-Montagnes (Le),
out:DT77-03669 Christophe-Millet (Le logis de),
out:DT77-03859 Collège-de-Beauvais (Le fief du),
out:DT77-03952 Commanderie-de-Saint-Jacques (La),
out:DT77-04542 Courtil-Maitre-Pierre-Lorfevre (Le),
out:DT77-04547 Courtil-Nicolas-Bourguignon (Le),
out:DT77-04897 Croix-de-Saint-Louis (La), autr. 
out:DT77-05136 Croix-Saint-Jacques-de-Montmitel (La),
out:DT77-05202 Croix-Saints-Simon-et-Jude (La),
out:DT77-05852 Féchère (La haute et la petite),
out:DT77-06067 Fief-de-Quentin-le-Bouteiller (Le),
out:DT77-06073 Fief-d'Étienne-de-Villaines (Le),
out:DT77-06116 Fief-Hébert-de-Saint-Martin (Le),
out:DT77-06205 Fief-Quentin-Le-Bouteiller (Le),
out:DT77-06409 Folie-lès-la-Motte-du-Saussoi (La),
out:DT77-06434 Follejuif (Le Grand et le Petit),
out:DT77-06486 Fontaine-à-Monsieur-Jacques (La),
out:DT77-06602 Fontaine-de-l'Étang-de-la-Motte,
out:DT77-06799 Fontaine-Saint-Clément (Le ru de la),
out:DT77-06814 Fontaine-Saint-Fiacre (Le ru de la),
out:DT77-06853 Bois-Sainte-Marie-Madeleine (La),
out:DT77-07020 Fort-des-Moulins (Le rocher du),
out:DT77-07947 Grande-Cantine-du-Souterrain (La),
out:DT77-08213 Grands-Moulins-d'Égreville (Les),
out:DT77-09409 Jubelette (La Haute et la Basse),
out:DT77-09737 Lettrée (L'arche et le bois de),
out:DT77-10246 Maison-Dieu-Saint-Jacques-du-Martroy,
out:DT77-10253 Maison-du-Pont-des-Seigneurs (La),
out:DT77-11119 Messe-du-matin (La masure de la),
out:DT77-11889 Motte-l'Abbesse (Le Bois de la),
out:DT77-12156 Moulin-à-Vent-de-Pierre-Gauthier (Le),
out:DT77-12291 Moulin-des-Grandes-Pierres (Le),
out:DT77-12365 Moulin-Grillot-de-la-Bertauche (Le),
out:DT77-12373 Moulin-Hugues-de-la-Monnaie (Le),
out:DT77-12762 Nouettes (Les basses et les hautes),
out:DT77-13142 Pavillon-de-la-Boulonnière (Le),
out:DT77-13742 Piquères (Les hautes et basses),
out:DT77-13842 « Plessetum de Ramaco loco in Meldensi diocesi »,
out:DT77-14314 Pressoir-de-Sainte-Geneviève (Le),
out:DT77-14353 Prieuré-de-la-Maison-des-Champs (Le),
out:DT77-14354 Prieuré-de-Sainte-Opportune (Le),
out:DT77-15240 Sainte-Marie-Madeleine de Bonnefontaine, dite de 
out:DT77-15477 Saint-Martin-des-Champs (Les bois de),
out:DT77-15574 Saint-Sépulcre-d'Allemagne (Le),
out:DT77-15604 Saint-Vincent et Saint-Louis-en-Beaulieu,
out:DT77-16418 Trois-Maisons-lès-Perreuse (Les),
out:DT77-16763 Vaurenard (Le grand et le petit),
out:DT77-16867 Versonne (La haute et la basse),
