Article,Vedette,Type vedette,Candidat,INSEE,Définition,Commentaire
DT10-00006,"Admée (L'),",dérivation,Lavau à Sainte-Maure,10191/10352,"
dérivation de la Seine, rive droite, de Lavau à Sainte-Maure.",
DT10-00017,"Alain (L),",ruisseau,Pouy (Aube) à Molinons (Yonne),10301/89261,"
ruisseau, affluent de la rive droite de la Vannes, de Pouy (Aube) à Molinons (Yonne) ; prend sa source au sud-est de Ménonville.",
DT10-00017,"Alain (L),",ruisseau,sud-est de Ménonville,non,"
ruisseau, affluent de la rive droite de la Vannes, de Pouy (Aube) à Molinons (Yonne) ; prend sa source au sud-est de Ménonville.",
DT10-00025,"Amance (L'),",affluent,Amance à Mathaux,10005/10228,"
affluent de la rive gauche de l'Aube, d'Amance à Mathaux.",
DT10-00030,"Ancre (L'),",affluent,Bercenay-en-Othe à Estissac,10037/10142,"
affluent de la rive gauche de la Vanne, de Bercenay-en-Othe à Estissac.",
DT10-00037,"Arce (L'),",affluent,Fontarce à Merrey,/10232,"
affluent de la rive droite de la Seine, de Fontarce à Merrey.",
DT10-00039,"Arcis-sur-Aube,",chef-lieu d'arrondissement,"
Marmoûtier
",non,"
chef-lieu d'arrondissement, avec prieuré séparé, dép. de 
Marmoûtier
, fondé vers 960 par Manassès, évêque de Troyes.",
DT10-00041,"Arcot (L'),",affluent, Dienville à Radonvilliers,10123/10313,"
affluent de la rive droite de l'Amance,  de  Dienville à Radonvilliers.",
DT10-00042,"Arcot (L'),",affluent,Avant-lez-Ramerupt à Longsols,10021/10206,"
affluent de la rive gauche de la Sorge ou du Longsols, d'Avant-lez-Ramerupt à Longsols.",
DT10-00044,"Arduçon,",affluent,"marais au-dessus de Marigny
",10339,"
affluent de la rive gauche de la Seine, sort d'un marais au-dessus de Marigny
 et se jette dans la Seine près de Bernières.",
DT10-00055,"Armance (L'),",affluent,Bordes-d'Avreuil,non,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,département de l'Yonne,non,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
