article,ProblemeLocalisation ?
DT10-00055,"près de la La Loge-Pomblin, aux ","près de la Loge-Pontblain, aux "
DT10-00156,commune de Pargues.,commune de Pargnes         .
DT10-00454,commune de la La Loge-Pomblin.,commune de la Loge-Pont-Belin         .
DT10-00501,commune de Magny-Fouchard ; détruit ,commune de Magnifouchard          ; détruit 
DT10-00575,commune de Doches.,commune de Dosches         .
DT10-00576,village de Doches.,village de Dosches         .
DT10-00590,"canton de Soulaines, autrefois Ferrières.","canton de Soulaines, autrefois "
DT10-00755,territoire de Colombé-la-Fosse.,territoire de Colombey-la-Fosse         .
DT10-00931,"près d’Ossey-les-Trois-Maisons, ",commune de …                   
DT10-01000,communes de Lévigny et de Montier-en-l’Île.,communes de Lévigny et de Montier-en-l'Isle.
DT10-01082,commune de Fontaine.,commune de Fontaines         .
DT10-01192,"Brevonne, essarté par Bernard de Montcuc ","            Brévonne         , essarté par Bernard de Montcuc "
DT10-01203,commune de la La Loge-Pomblin.,commune de la Loge-Pont-Belin         .
DT10-01306,territoire de Doches.,territoire de Dosches         .
DT10-01439,"canton de Piney, autrefois Aillefol : le nom de Gérosdot s'appliquait à la seigneurie ; depuis ","canton de Piney, autrefois "
DT10-01680,commune de Doches ; aujourd'hui détruite.,commune de Dosches          ; aujourd'hui détruite.
DT10-01718,commune de Doches ; disparu.,commune de Dosches          ; disparu.
DT10-01982,commune de Saint-Parres-les-Tertres.,commune de Parres-aux-Tertres         .
DT10-02132,"Creney, 1 à ","Créney, 1 à "
DT10-02132,"Vitry-le-Croise, 1 à ","Vitry-le-Croisé, 1 à "
DT10-02197,"commune d’Arrembécourt ; ancien fief avec chapelle, aujourd'hui disparu.","commune d'Arambécourt          ; ancien fief avec chapelle, aujourd'hui disparu."
DT10-02206,Troyes près du prieuré de Saint-Blaise ; l'emplacement en est occupé aujourd'hui par une partie de la ruelle de la Santé ,            Troyes                   
DT10-02294,"Montier-en-l'Ile, ","Montier-en-l'Île, "
DT10-02296,Saint-Benoit-sur-Vanne (n,Saint-Benoît-sur-Vanne (n
DT10-02296,Creney (n,Créney (n
DT10-02296,Saint-Etienne-sous-Barbuise (n,Saint-Étienne-sous-Barbuise (n
DT10-02503,Montier-en-l'Ile.,            Montier-en-l'Île         .
DT10-02608,"Mery-sur-Seine, se divise ensuite en deux branches, dont l'une se réunit à la Seine à ","Méry-sur-Seine, se divise ensuite en deux branches, dont l'une se réunit à la Seine à "
DT10-02618,territoire d’Isle-Aumont.,territoire d'Isle.
DT10-02727,commune de Longchamp ; naguère Forge d'en-Bas.,commune de Longchamp          ; naguère 
DT10-03030,"commune de Verrières, autrefois Villiers.","commune de Verrières         , autrefois "
DT10-03068,commune de Saint-Hilaire.,commune de Saint Hilaire         .
DT10-03181,territoires de Paisy-Cosdon et de Saint-Benoît-sur-Vanne.,territoires de Paisy-Cosdon et de Saint Benoît-sur-Vanne.
DT10-03304,commune d’Onjon ; aujourd'hui détruit.,commune d'Onjon ou de Bouy          ; aujourd'hui détruit.
DT10-03317,commune de Montfey.,commune de Montey         .
DT10-03527, Troyes à Soissons., Troyes à Soissons ou 
