Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-04109,Rivière de la Plume.,Bras,"
            Abbeville
         ",80001,"
         Bras de la Somme qui traversait 
            Abbeville
         , reprenait la Somme un peu en aval de Saint-Vulfran ; il a été supprimé un peu avant la Révolution.",,
DT80-04527,"S. Milfort,",chapelle,"
            Abbeville
         ",80001,"
         chapelle dép. d’
            Abbeville
         .",,
DT80-00010,Abbaye-du-Gard,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-01049,"Cauchiette,",écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-02108,Gard,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-02194,Grand Jardin,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-04186,Roques,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-04237,"Rouvroy-les-Abbeville,",faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         , 1386 habitants.",,
DT80-04428,"S. Gilles,",faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         , 2,888 habitants.",,
DT80-02967,"Menchecourt,",faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         .",,
DT80-03725,Planches,faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         .",,
DT80-03818,Portelette,faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         .",,
DT80-03769,"Pont-aux-Poissons,",fief,"
            Abbeville
         ",80001,"
         fief sis à 
            Abbeville
         .",,
DT80-02722,"Maillefeu,",fief,"
            Abbeville
         ",80001,"
         fief. Prairies dép. d’
            Abbeville
         .",,
DT80-02267,"Guaden selve,",forêt,"
            Abbeville
         ",80001,"
         forêt qui s’etendait de Forest-l’Abbaye à 
            Abbeville
         .",,
DT80-02756,"Maison-Dubromel,",habitation isolée,"
            Abbeville
         ",80001,"
         habitation isolée dép. d’
            Abbeville
         . Route de Calais à Hesdin.",,
DT80-02573,Justice,habitation isolée,"
            Abbeville
         ",80001,"
         habitation isolée, dép. d’
            Abbeville
         .",,
DT80-03716,"Place des Druides,",lieu,"
            Abbeville
         ",80001,"
         lieu sis près la porte S. Gilles d’
            Abbeville
         .",,
DT80-02833,"Malicorne,",prairie,"
            Abbeville
         ",80001,"
         prairie dép. d’
            Abbeville
         . Entre la rivière du Doigt et la rivière aux Nonnains.",,
DT80-03550,Patis,promenade,"
            Abbeville
         ",80001,"
         promenade d’
            Abbeville
         .",,
DT80-04114,"Rivière de Nouvion,",,"
            Abbeville
         ",80001,"à 
            Abbeville
         .",,
DT80-00224,"Bagatelle,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-00318,"Beaulieu,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-00728,Bouvaque,,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-01145,Chartreux,,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-01330,"Corps-de-garde de St-Gilles,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-01738,"Faubourg du Bois,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-01739,"Faubourg St.-Gilles,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-01776,"Ferme Brunet,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-02946,"Mautort,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-03413,"N.-D. de la Chapelle,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-04890,"Thuyson,",,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-05013,Tuilerie,,"
            Abbeville
         ",80001,"dép. d’
            Abbeville
         .",,
DT80-02702,Magdelaine,Ancienne léproserie et chapelle,"
            Amiens
         ",80021,"
         Ancienne léproserie et chapelle dép. d’
            Amiens
         .",,
DT80-02816,Maladrerie,Cimetière,"
            Amiens
         ",80021,"
         Ancienne léproserie. Cimetière d’
            Amiens
         .",,
DT80-00216,"Avrelle,",bras,"
            Amiens
         ",80021,"
         bras de l’Avre passant à 
            Amiens
         .",,
DT80-01442,"Cunette,",canal ou mieux fossé d’égout,"
            Amiens
         ",80021,"
         canal ou mieux fossé d’égout conduisant les eaux du faubourg St.-Pierre à 
            Amiens
          dans la Somme.",,
DT80-04519,"S. Maurice,",faubourg,"
            Amiens
         ",80021,"
         faubourg d’
            Amiens
         , 3 habitants.",,
DT80-02421,"Hem-lès-Amiens,",faubourg,"
            Amiens
         ",80021,"
         faubourg d’
            Amiens
         .",,
DT80-04591,"S. Roch,",faubourg,"
            Amiens
         ",80021,"
         faubourg d’
            Amiens
         . Ancien cimetière et ferme.",,
DT80-01285,"Conty,",fief,"
            Amiens
         ",80021,"
         fief sis à 
            Amiens
          au coin des rues de Beauvais et des Lirots.",,
DT80-02937,Maucreux,fief,"
            Amiens
         ",80021,"
         fief sis à 
            Amiens
         , qui comprenait le Jardin des Plantes actuel et une partie de la citadelle.",,
DT80-02886,"Marconelles,",fief,"
            Amiens
         ",80021,"
         fief sis à 
            Amiens
         .",,
DT80-00021,"Acquégny,",fief,"
            Amiens
         ",80021,"
         fief sis paroisse de S. Sulpice à 
            Amiens
         .",,
DT80-00724,"Boutillerie,",hameau,"
            Amiens
         ",80021,"
         hameau, dép. d’
            Amiens
         , 192 habitants.",,
DT80-03779,"Pont-de-Buisine,",Pont,"
            Amiens
         ",80021,"
         Pont faisant la limite entre la banlieue d’
            Amiens
          et LONGUEAU, sur la grande route.",,
DT80-03873,"Prélion,",pré,"
            Amiens
         ",80021,"
         pré situé sur les bords de la Somme, en face le pont de la Barette, à 
            Amiens
         .",,
DT80-02508,Hotoie,promenade et faubourg,"
            Amiens
         ",80021,"
         promenade et faubourg dép. d’
            Amiens
         .",,
DT80-03960,"Queue-de-Vache,",quartier,"
            Amiens
         ",80021,"
         quartier d’
            Amiens
         .",,
DT80-01189,"Chaussée Brunehaut,",voie romaine,"
            Amiens
         ",80021,"allant d’
            Amiens
          à Rouen.",,
DT80-01192,"Chaussée romaine,",,"
            Amiens
         ",80021,"d’
            Amiens
          à Bavay.",,
DT80-01190,"Chaussée romaine,",,"
            Amiens
         ",80021,"d’
            Amiens
          à Dieppe.",,
DT80-01191,"Chaussée romaine,",,"
            Amiens
         ",80021,"d’
            Amiens
          à Paris.",,
DT80-03659,"Petit-Saint-Jean,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         , 383 habitants.",,
DT80-02658,"Longpré-lès-Amiens,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         , 623 habitants.",,
DT80-04032,"Renancourt,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         , 682 habitants.",,
DT80-03337,Neuville-les-Amiens,,"
            Amiens
         ",80021,"dép. d’
            Amiens
         , 999 habitants.",,
DT80-03876,Près Forets,,"
            Amiens
         ",80021,"dép. d’
            Amiens
         , faubourg de la Hotoie.",,
DT80-03196,"Montjoie,",lieu dit,"
            Amiens
         ",80021,"dép. d’
            Amiens
         , vers Saint-Fuscien.",,
DT80-00033,"Agrappin (L’),",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-00500,"Blamont,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-01980,Fosse Alais,,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-01987,Fosse Ferneuse,,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-03732,"Pleinseau,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-04349,"Saint-Acheul-les-Amiens,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-05065,Vallée,,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-05294,Voirie,,"
            Amiens
         ",80021,"dép. d’
            Amiens
         .",,
DT80-01732,"Faubourg de Beauvais,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         . — Etat-major.",,
DT80-01737,"Faubourg de Noyon,",,"
            Amiens
         ",80021,"dép. d’
            Amiens
         . — Etat-major.",,
DT80-03183,"Montières,",,"
            Amiens
         ",80021,"Dép. d’
            Amiens
         . 1385.",,
DT80-01569,Ecluse de l’Agrapin.,,"
            Amiens
         ",80021,"Sur la Somme au-dessus d’
            Amiens
         .",,
DT80-04327,"Rumets,",fief,"
            Arguel
         ",80026,"
         fief sis à 
            Arguel
         .",,Commune non identifiée (art. 80-00148)
DT80-03828,"Poteau,",,"
            Arguel
         ",80026,"dép. d’
            Arguel
         .",,
DT80-03531,"Paille-au-cul,",lieu dit,"
            Aubigny-les-Brouchy
         ",80144,"
         lieu dit à 
            Aubigny-les-Brouchy
         .",,
DT80-04034,"Reniamont,",fief,"
            Authieulles
         ",80044,"
         fief sis à 
            Authieulles
         .",,
DT80-04107,Rivière de Gezaincourt.,Ruisseau,"
            Bagneux
         ",non,"
         Ruisseau auquel Cassini et l’Etat-major ne donnent point de nom, qui prend sa source à 
            Bagneux
         , au pied de Bœuf, sur la limite des terroirs de Gezaincourt et de Beauval, et se jette dans l’Authie à Bretel.",,
DT80-02926,Masures,,"
            Bainast
         ",80076,"dép. de 
            Bainast
         .",,
DT80-01955,"Forêt de Baisieux,",,"
            Baisieux
         ",80052,"dép. de 
            Baisieux
         . — Défrichée.",,
DT80-04197,"Rossignol,",,"
            Bayencourt-les-Biaches
         ",80102,"dép. de 
            Bayencourt-les-Biaches
         .",,
DT80-02711,"Magnon,",fontaine,"
            Beaucamp
         ",80061,"
         fontaine qui de 
            Beaucamp
          se perd dans la Bresle.",,
DT80-05238,"Villeru,",fief,"
            Beauchamps
         ",80063,"
         fief sis à 
            Beauchamps
         .",,
DT80-02628,"Lieu-Dieu,",,"
            Beauchamps
         ",80063,"dép. de 
            Beauchamps
         , 28 habitants.",,
DT80-04813,Sucrerie,ferme,"
            Beauchamps
         ",80063,"dép. de 
            Beauchamps
         .",,
DT80-01721,Falize,bois,"
            Beaucourt
         ",80066,"
         bois dép. de 
            Beaucourt
          (VILLERS-BOCAGE).",,
DT80-00492,"Bigaudet,",ferme,"
            Beaucourt
         ",80066,"
         ferme sise à 
            Beaucourt
          et à MIRVAUX.",,
DT80-00354,"Beauvois,",fontaine,"
            Beaucourt
         ",80065,"
         fontaine qui prend sa source à 
            Beaucourt
         , canton d’Albert, et se perd dans l’Encre.",,
DT80-03303,"Monroy,",,"
            Beaufort
         ",80067,"dép. de 
            Beaufort
         .",,
DT80-01187,"Chaussée Brunehaut,",voie romaine,"
            Beauvais
         ",60057,"
         voie romaine allant de 
            Beauvais
          à Amiens et à Arras.",,
DT80-00600,Bosquet,bois,"
            Bécourt-Bécordel
         ",80073,"
         bois dép. de 
            Bécourt-Bécordel
         .",,
DT80-00356,"Bécordel,",partie,"
            Bécourt-Bécordel
         ",80073,"
         partie de 
            Bécourt-Bécordel
         , 113 habitants.",,
DT80-00361,"Becquerel,",cours d’eau,"
            Becquerel
         ",80688,"
         cours d’eau venant de 
            Becquerel
         , affluent de la Maye.",,
DT80-04495,"S. Martin,",chapelle,"
            Bellencourt
         ",80078,"
         chapelle dép. de 
            Bellencourt
         .",,
DT80-02931,"Matiffas,",fief,"
            Bellencourt
         ",80078,"
         fief sis à 
            Bellencourt
         . 1720-1777.",,
DT80-00083,"Ancelin,",fief,"
            Bellifontaine
         ",80051,"
         fief sis à 
            Bellifontaine
         .",,
DT80-04110,Rivière de Mareuil.,Petite rivière,"
            Bellifontaine
         ",80051,"
         Petite rivière qui prend sa source à 
            Bellifontaine
         , va se jeter dans la Somme en face d’Eaucourt après un parcours de 7 kil. environ.",,
DT80-00408,"Bellinval-le-Grand,",ferme,"
            Bellinval
         ",80133,"
         ferme. Partie de 
            Bellinval
         . — Adm. — Dom Cotron.",,
DT80-00409,"Bellinval-le-Petit,",ferme,"
            Bellinval
         ",80133,"
         ferme. Partie de 
            Bellinval
         . — Adm. — Dom Cotron.",,
DT80-03087,"Monchel,",fief,"
            Berny
         ",non,"
         fief dép. de 
            Berny
         .",,
DT80-03441,"Notre-Dame-des-Vertus,",,"
            Bersaucourt
         ",80621,"à 
            Bersaucourt
         , La Faloise, ERCHES.",,
DT80-02480,"Hirondelle,",hameau,"
            Bertaucourt
         ",80093,"
         hameau dép. de 
            Bertaucourt
         .",,
DT80-00494,"Bihen,",cours d’eau,"
            Bihen
         ",80228,"
         cours d’eau venant de 
            Bihen
         , affluent de la Maye.",,
DT80-00113,"Arbre de Billon,",,"
            Billon
         ",80743,"dép. de 
            Billon
         .",,
DT80-03589,"Petit Blangy,",hameau,"
            Blangy
         ",non,"
         hameau dép. de 
            Blangy
         , 10 habitants.",,
DT80-05007,"Tronville,",hameau,"
            Blangy
         ",80107,"
         hameau dép. de 
            Blangy
         . 20 habitants.",,
DT80-03666,"Petit-Tronville,",,"
            Blangy
         ",80107,"dép. de 
            Blangy
         .",,
DT80-01172,"Chatigny,",fief,"
            Boencourt
         ",80076,"
         fief sis à 
            Boencourt
         .",,
DT80-04385,"S. Claude,",chapelle,"
            Boiron
         ",80450,"dép. de 
            Boiron
         .",,
DT80-00861,"Buscamp,",fief,"
            Boubers
         ",80556,"
         fief sis à 
            Boubers
         .",,
DT80-02616,"Le Riche,",fief,"
            Boubers
         ",80556,"
         fief sis à 
            Boubers
         .",,
DT80-02646,"Lisques,",fief,"
            Boubers
         ",80556,"
         fief sis à 
            Boubers
         .",,
DT80-03334,"Neuve Rue,",fief,"
            Boubers
         ",80556,"
         fief sis à 
            Boubers
         .",,
DT80-00685,"Boujonnier,",fief,"
            Boubers
         ",80556,"
         fief sis à 
            Boubers
         . M. Prarond.",,
DT80-02834,"Malot,",fief,"
            Bouillancourt-sur-Miannay
         ",80578,"
         fief sis à 
            Bouillancourt-sur-Miannay
         .",,
DT80-02962,"Melicocq,",fief,"
            Bouillancourt-sur-Miannay
         ",80578,"
         fief sis à 
            Bouillancourt-sur-Miannay
         .",,
DT80-03369,"Noiret,",fief,"
            Bouillancourt-sur-Miannay
         ",80578,"
         fief sis à 
            Bouillancourt-sur-Miannay
         .",,
DT80-03837,"Poulletier,",fief,"
            Bouillancourt-sur-Miannay
         ",80578,"
         fief sis à 
            Bouillancourt-sur-Miannay
         .",,
DT80-03394,"Notre-Dame-de-Bonne-Mort,",chapelle,"
            Boulainvillers-Tronchoy
         ",80443,"
         chapelle sise à 
            Boulainvillers-Tronchoy
         .",,
DT80-00720,Bout du Bois,ferme,"
            Bouttencourt-en-Sery
         ",80126,"
         ferme, dép. de 
            Bouttencourt-en-Sery
         .",,
DT80-01971,"Fortine écluse,",ferme,"
            Bouvaque
         ",80001,"
         ferme dép. de la 
            Bouvaque
         .",,
DT80-01568,"Eclebech,",fief,"
            Bouzencourt
         ",80411,"
         fief sis à 
            Bouzencourt
         .",,
DT80-03996,Rampettes,bois,"
            Braches
         ",80132,"
         bois dép. de 
            Braches
         .",,
DT80-02215,Grands Champs,bois,"
            Braches
         ",80132,"
         bois dép. de 
            Braches
         . — Défriché en partie.",,
DT80-01856,"Filescamps,",,"
            Braches
         ",80132,"dép. de 
            Braches
         , 19 habitants.",,
DT80-03952,"Quesnoy,",ferme,"
            Brailly-Cornehotte
         ",80133,"
         ferme sise à 
            Brailly-Cornehotte
         .",,
DT80-02363,"Harleux,",,"
            Bray
         ",non,"dép. de 
            Bray
         .",,
DT80-03111,"Monplaisir,",fief,"
            Bray
         ",non,"dép. de 
            Bray
         .",,
DT80-03657,"Petit S.-Christ,",,"
            Briost
         ",80701,"dép. de 
            Briost
         .",,
DT80-04025,Remise Bordeaux,bois,"
            Briquemesnil
         ",80142,"
         bois dép. de 
            Briquemesnil
         .",Bricquemesnil,
DT80-03941,Quesneaux,fief,"
            Briquemesnil
         ",80142,"
         fief sis à 
            Briquemesnil
         .",Bricquemesnil,
DT80-01683,"Etang de Brusle,",,"
            Brusle
         ",non,"dép. de 
            Brusle
          et de CARTIGNY.",,
DT80-03899,Puisard,Fontaine,"
            Buire
         ",80150,"
         Fontaine qui vient de 
            Buire
          et dont les eaux se jettent dans la Rivièrette, laquelle se perd dans la Cologne.",,
DT80-03653,Petit-Riez,,"
            Bus-en-Santerre
         ",80152,"dép. de 
            Bus-en-Santerre
         , 10 habitants.",,
DT80-01332,"Corps-de-garde des cloiettes,",,"
            Buscourt
         ",80307,"dép. de 
            Buscourt
         .",,
DT80-03912,"Pusot,",,"
            Buscourt
         ",80307,"dép. de 
            Buscourt
         .",,
DT80-04691,Salle,fief,"
            Busmenard
         ",80767,"
         fief sis à 
            Busmenard
         .",,
DT80-04157,"Rohatre,",partie,"
            Busmenard
         ",80767,"
         partie de 
            Busmenard
         .",,
DT80-02788,"Maison-Rouillard,",ferme,"
            Bussu
         ",80154,"
         ferme dép. de 
            Bussu
         , canton de Péronne.",,
DT80-02874,Marcais,fief,"
            Bussus-Bussuel
         ",80155,"
         fief sis à 
            Bussus-Bussuel
         .",,
DT80-03793,"Pont des Marettes,",habitation isolée,"
            Bussus-Bussuel
         ",80155,"
         habitation isolée dép. de 
            Bussus-Bussuel
         .",,
DT80-03445,"Notre-Dame-d’Hémimont,",,"
            Bussus-Bussuel
         ",80155,"dép. de 
            Bussus-Bussuel
         .",,
DT80-03635,"Petit-Moulin,",,"
            Bussus-Bussuel
         ",80155,"dép. de 
            Bussus-Bussuel
         .",,
DT80-01128,"Chapelle de l’Exaltation de la Ste.-Croix,",,"
            Catelet
         ",non,"sise au 
            Catelet
         , dép. de CARTIGNY.",,
DT80-04598,"S. Sanson,",chapelle,"
            Caubert
         ",80512,"
         chapelle dép. de 
            Caubert
         .",,
DT80-03019,"Mesnil-sous-Caubert,",fief,"
            Caubert
         ",80512,"
         fief sis à 
            Caubert
         .",,
DT80-03518,"Ostenne,",lieu dit,"
            Caubert
         ",80512,"
         lieu dit à 
            Caubert
         . M. Prarond.",,
DT80-00267,Bas-Caubert,partie,"
            Caubert
         ",80512,"
         partie de 
            Caubert
         .",,
DT80-00916,"Camp de César,",,"
            Caubert
         ",80512,"dép. de 
            Caubert
         .",,
DT80-01046,"Caubert-le-Bas,",,"
            Caubert
         ",80512,"dép. de 
            Caubert
         .",,
DT80-04149,"Roc,",,"
            Caubert
         ",80512,"dép. de 
            Caubert
         .",,
DT80-02888,Mare,fief,"
            Caux
         ",80171,"
         fief sis à 
            Caux
         .",Caours,
DT80-02294,"Hable d’Ault,",étang ou petit lac,"
            Cayeux
         ",80182,"
         étang ou petit lac dép. de 
            Cayeux
         .",,
DT80-01598,Enviette,ferme,"
            Cayeux
         ",80182,"
         ferme dép. de 
            Cayeux
         .",,
DT80-01297,Cordier,fief,"
            Cayeux
         ",80182,"
         fief sis à 
            Cayeux
         . — Etat des fiefs. — Cadastre.",,
DT80-02765,"Maison-Lephay,",habitation isolée,"
            Cayeux
         ",non,"
         habitation isolée dép. de 
            Cayeux
         .",,
DT80-00934,Canal,petit canal,"
            Cayeux
         ",80182,"
         petit canal qui décharge les eaux des bas champs et du Hable à 
            Cayeux
         .",,
DT80-01095,"Chanteraine,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         , 11 habitants.",,
DT80-03680,Phare,,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         , 13 habitants.",,
DT80-02515,"Hourdel,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         , 172 habitants.",,
DT80-03071,Mollière,,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         , 51 habitants.",,
DT80-02540,"Hurt,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         , 99 habitants.",,
DT80-01310,"Corps-de-garde,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         .",,
DT80-01311,Corps-de-garde,,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         .",,
DT80-01823,"Ferme du Chateau,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         .",,
DT80-02961,Meliars,,"
            Cayeux
         ",non,"dép. de 
            Cayeux
         .",,
DT80-03799,"Pont du Nocq d’Offoi,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         .",,
DT80-03417,"N.-D. de la Mer,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         . Bâtie en 1859.",,
DT80-00946,"Canal de l’Enviette,",,"
            Cayeux
         ",80182,"dép. de 
            Cayeux
         . Creusé en 1752.
      ",,
DT80-00817,"Brunel,",fief,"
            Cerisy
         ",non,"
         fief sis à 
            Cerisy
         .",,
DT80-01401,"Cretu,",fief,"
            Cerisy
         ",non,"
         fief sis à 
            Cerisy
         .",,
DT80-04630,"Anne,",chapelle,"
            Chaulnes
         ",80186,"
         chapelle sise à 
            Chaulnes
         , rue de la Grande-Avenue.",,
DT80-00603,Bosquet,petit bois,"
            Chaulnes
         ",80186,"
         petit bois dép. de 
            Chaulnes
         .",,
DT80-04386,"S. Claude,",chapelle,"
            Chaulnes
         ",80186,"dép. de 
            Chaulnes
         .",,
DT80-04718,"Saulchoy,",ferme,"
            Clairy
         ",80198,"
         ferme dép. de 
            Clairy
         . 16 habitants.",,
DT80-04794,"Sormont,",ferme,"
            Cléry
         ",80199,"
         ferme dép. de 
            Cléry
         , 10 habitants.",,
DT80-00093,"Appevillers,",fief,"
            Cléry
         ",80199,"
         fief sis à 
            Cléry
         . Dom Grenier.",,
DT80-03494,"Omiécourt-lès-Cléry,",hameau,"
            Cléry
         ",80199,"
         hameau dép. de 
            Cléry
         , 78 habitants.",,
DT80-01684,"Etang de Buscourt,",,"
            Cléry
         ",80199,"dép. de 
            Cléry
          et de FEUILLERES.",,
DT80-01036,Catelet,,"
            Cléry
         ",80199,"dép. de 
            Cléry
         .",,
DT80-01685,"Etang de Haut,",,"
            Cléry
         ",80199,"dép. de 
            Cléry
         .",,
DT80-01686,Etang de Cléry,,"
            Cléry
         ",80199,"dép. de 
            Cléry
         .",,
DT80-04738,"Secret,",fief,"
            Cocquerel-sur-Somme
         ",80200,"
         fief sis à 
            Cocquerel-sur-Somme
         .",,
DT80-05234,"Villeneuve de Folies,",,"
            Condé-Folies
         ",80205,"dép. de 
            Condé-Folies
         .",,
DT80-04996,"Trogneux,",fief,"
            Coquerel
         ",80200,"
         fief sis à 
            Coquerel
         .",,
DT80-02698,"Machy,",fief,"
            Coquerel
         ",80200,"
         fief sis à 
            Coquerel
         . 1560.
      ",,
DT80-04210,"Rouanche,",fief,"
            Coquerel-sur-Somme
         ",80200,"
         fief sis à 
            Coquerel-sur-Somme
         .",,
DT80-00885,"Buzerain,",fief,"
            Coullemelles
         ",80214,"
         fief sis à 
            Coullemelles
         .",,
DT80-00040,"Ailly,",fief,"
            Coullemelles
         ",80214,"
         fief sis à 
            Coullemelles
         . Daire. D. de Moreuil.",,
DT80-02001,"Foulleviller,",fief,"
            Coullemelles
         ",80214,"
         fief sis à 
            Coullemelles
         . Daire. Doy. de Montdidier.",,
DT80-04274,Ruisseau de Courcelles.,Ruisseau,"
            Courcelles
         ",non,"
         Ruisseau qui vient de 
            Courcelles
         , près Mézerolles, et se jette dans l’Authie.",,
DT80-02719,"Maigremont,",ferme détruite,"
            Courtemanche
         ",80220,"
         ferme détruite. Dép. de 
            Courtemanche
         .",,
DT80-00466,"Béthisy,",fief,"
            Courtemanche
         ",80220,"
         fief sis à 
            Courtemanche
         .",,
DT80-01243,"Clermont,",fief,"
            Courtemanche
         ",80220,"
         fief sis à 
            Courtemanche
         . — Daire. Doy. de Montdidier.",,
DT80-01947,Forestel,ferme,"
            Courtemanche
         ",80220,"dép. de 
            Courtemanche
         , 10 habitants.",,
DT80-04559,"S. Pierre,",chapelle,"
            Courtemanche
         ",80220,"dép. de 
            Courtemanche
         .",,
DT80-02463,"Hesdigneux,",fief,"
            Crécy-en-Ponthieu
         ",80222,"
         fief sis à 
            Crécy-en-Ponthieu
         .",,
DT80-02818,Maladrerie,fief,"
            Crécy-en-Ponthieu
         ",80222,"
         fief sis à 
            Crécy-en-Ponthieu
         .",,
DT80-03173,"Mont-grand,",fief,"
            Crécy-en-Ponthieu
         ",80222,"
         fief sis à 
            Crécy-en-Ponthieu
         .",,
DT80-03534,"Papiot,",fief,"
            Crécy-en-Ponthieu
         ",80222,"
         fief sis à 
            Crécy-en-Ponthieu
         .",,
DT80-05039,"Val a carognes,",lieu dit,"
            Crécy-en-Ponthieu
         ",80222,"
         lieu dit à 
            Crécy-en-Ponthieu
         .",,
DT80-01959,"Forêt de Crécy,",,"
            Crécy-en-Ponthieu
         ",80222,"dép. de 
            Crécy-en-Ponthieu
         , BERNAY, CANCHY, FOREST-L'ABBAYE, FOREST-MONTIERS.",,
DT80-02179,"Grambus,",fief,"
            Cressy
         ",80224,"
         fief dép. de 
            Cressy
         .",,
DT80-02887,"Mare-aux-Sangsues,",,"
            Croixrault
         ",80227,"dép. de 
            Croixrault
         .",,
DT80-01042,"Catigny,",fief,"
            Digeon
         ",80573,"
         fief sis à 
            Digeon
         .",,
DT80-01524,"Durandal,",fief,"
            Digeon
         ",80573,"
         fief sis à 
            Digeon
         .",,
DT80-00877,But,bois,"
            Domart
         ",non,"
         bois dép. de 
            Domart
         .",,
DT80-02397,Haye,ferme,"
            Domart
         ",80241,"
         ferme dép. de 
            Domart
         , 13 habitants.",,
DT80-03738,Plouy-les-Domart,ferme,"
            Domart
         ",80241,"
         ferme dép. de 
            Domart
         .",,
DT80-00964,Candas,,"
            Dompierre
         ",non,"dép. de 
            Dompierre
         , 61 habitants.",,
DT80-00870,"Bussu-en-Santerre,",,"
            Dompierre
         ",80247,"dép. de 
            Dompierre
         .",,
DT80-04001,"Rapechy,",,"
            Dompierre-en-Ponthieu
         ",80248,"dép. de 
            Dompierre-en-Ponthieu
         , 222 habitants.",,
DT80-00954,Canal du Gard.,,"
            Domvoie
         ",80649,"Canal construit pour dessécher le marais, et qui va de 
            Domvoie
          à l’étang du Gard, près Rue.",,
DT80-04105,"Rivière de Drancourt,",petit cours d’eau,"
            Drancourt
         ",80287,"
         petit cours d’eau passant à 
            Drancourt
         , affluent de l’Amboise.",,
DT80-00067,"Alloquay,",fief,"
            Drugy
         ",80716,"
         fief sis à 
            Drugy
         , 1289.
      ",,
DT80-00069,"Aloyaux,",fief,"
            Drugy
         ",80716,"
         fief sis à 
            Drugy
         .",,
DT80-03753,"Polgache,",fief,"
            Drugy
         ",80716,"
         fief sis à 
            Drugy
         .",,
DT80-05131,Vassourie,fief,"
            Drugy
         ",80716,"
         fief sis à 
            Drugy
         .",,
DT80-03190,"Montigny,",fief,"
            Duncq
         ",80476,"
         fief sis à 
            Duncq
         .",,
DT80-04466,"S. Laurent,",ferme,"
            Dury
         ",80261,"
         ferme dép. de 
            Dury
         . — Daire. Doy. de Conty.",,
DT80-01937,"Fontenelles,",fief,"
            Dury
         ",80261,"
         fief sis à 
            Dury
         .",,
DT80-02793,"Maison-Trompette,",habitation isolée,"
            Dury
         ",80261,"
         habitation isolée dép. de 
            Dury
         .",,
DT80-04501,"S. Martin,",lieu dit,"
            Dury
         ",80261,"
         lieu dit à 
            Dury
         .",,
DT80-00080,"Amilly,",,"
            Dury
         ",80261,"dép. de 
            Dury
         .",,
DT80-04137,Rivièrette,cours d’eau,"
            Eaucourt
         ",80262,"
         cours d’eau qui, d’
            Eaucourt
         , se perd dans la Somme.",,
DT80-02978,Merlier,ferme,"
            Eaucourt
         ",80262,"
         ferme dépendant d’
            Eaucourt
         .",,
