Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT05-00186,Antonaves (Mandement d').,Ancien mandement,commune actuelle d'Antonaves,05005,"
Ancien mandement comprenant la commune actuelle d'Antonaves."
DT05-00219,Argençon (Mandement d').,Ancien mandement,"commune actuelle de Saint-Pierre-d'Argençon
",non,"
Ancien mandement comprenant la commune actuelle de Saint-Pierre-d'Argençon
 et le hameau de Saint-Martin-d'Argençon."
DT05-00219,Argençon (Mandement d').,Ancien mandement,hameau de Saint-Martin-d'Argençon,non,"
Ancien mandement comprenant la commune actuelle de Saint-Pierre-d'Argençon
 et le hameau de Saint-Martin-d'Argençon."
DT05-00220,Argentière (Mandement de l').,Ancien mandement,hameau de la Bessée,non,"
Ancien mandement comprenant les communes actuelles de l'Argentière, de la Roche-de-Briançon et le hameau de la Bessée."
DT05-00255,Arzeliers (Mandement d').,Ancien mandement,hameau d'Arzeliers,non,"
Ancien mandement comprenant les communes d'Eyguians, de Laragne et le hameau d'Arzeliers."
DT05-00260,Aspremont (Mandement d').,Ancien mandement,commune actuelle d'Aspremont,05008,"
Ancien mandement comprenant la seule commune actuelle d'Aspremont."
DT05-00412,Baratier (Mandement de).,Ancien mandement,"commune actuelle de Baratier
",05012,"
Ancien mandement comprenant la seule commune actuelle de Baratier
."
DT05-00520,Bauchaine (Le).,Ancien mandement,"hameaux de la Rochette, de Saint-André-en-Bauchaine, de Notre-Dame, du Villard",non,"
Ancien mandement comprenant les communes actuelles de Saint-Julien-en-Bauchaine, d'Agnelles, d'Aspres, de la Faurie et de Montbrand, et les hameaux de la Rochette, de Saint-André-en-Bauchaine, de Notre-Dame, du Villard, etc."
DT05-00625,Beaumont (Le).,Ancien mandement,"
Corps
",non,"
Ancien mandement comprenant 
Corps
, la Salette, etc., actuellement dans l'Isère, et Aspres-les-Corps qui fait partie du département des Hautes-Alpes."
DT05-00625,Beaumont (Le).,Ancien mandement,la Salette,non,"
Ancien mandement comprenant 
Corps
, la Salette, etc., actuellement dans l'Isère, et Aspres-les-Corps qui fait partie du département des Hautes-Alpes."
DT05-01094,"Briançon,",chef-lieu d'arrond,"
Briançonnais
",non,"
chef-lieu d'arrond, ancien chef-lieu de la principauté de 
Briançonnais
."
