Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT28-03277,"Gros-Caillou (Le),",ravin,Abbayes,non,"dolmen, près de Nonvilliers, donne son nom à un ravin, nommé également vallée de Saint-Laurent, de la Fourrière et du Pont-aux-Cordiers, qui prend sa source aux Abbayes (commune du Thieulin), passe aux Corvees et à Nonvilliers et se jette dans le Loir à Mirougrain, commune de Saint-Éman."
DT28-01550,"Chartrain (Pays),",ferme,Ablis,non,"faisant partie de la Beauce et correspondant à la Beauce Chartraine, moins l’élection de Dourdan, était borné à l’O. par le Grand Perche et le Thimerais ; au N. par le Thimerais, le Drouais et le comté de Montfort ; à l’E. il était séparé de l’élection de Dourdan par une ligne passant par Greffiers, Menainville, Ablis, Boinville-le-Gaillard, Sainville, Abonville et Fresnay-l'Eveque ; enfin au S. 42il était borné par le Dunois et le Perche-Gouet."
DT28-01550,"Chartrain (Pays),",ferme,Abonville,non,"faisant partie de la Beauce et correspondant à la Beauce Chartraine, moins l’élection de Dourdan, était borné à l’O. par le Grand Perche et le Thimerais ; au N. par le Thimerais, le Drouais et le comté de Montfort ; à l’E. il était séparé de l’élection de Dourdan par une ligne passant par Greffiers, Menainville, Ablis, Boinville-le-Gaillard, Sainville, Abonville et Fresnay-l'Eveque ; enfin au S. 42il était borné par le Dunois et le Perche-Gouet."
DT28-03681,"Hutière (La),",fief,Aigneville,non,"fief, à Aigneville, commune de Pré-Saint-Martin, vassal du Bois-Gasnier."
DT28-06234,"Saint-Jean-de-l’Hôpital,",chapelle,Aigrefoin,non,"chapelle, à Aigrefoin, commune de Bullou."
DT28-05861,"Renault (Vallée),",hameau,ancien étang de la Motte,non,"part de Chazay (commune de Saint-Aubin-des-Bois), puis, après avoir parcouru la commune de Cintray, traverse l’ancien étang de la Motte (commune de Saint-Georges-sur-Eure), à l’extrémité duquel était un pont, dit de la Vallée-Renault, sur l’ancien chemin ferré de Chartres au Mans, et enfin, après avoir rencontré le Fossé-Piégeux, se jette dans l’Eure près d’Andrevilliers."
DT28-02886,"Gargouille (Ruisseau de la),",menhir,ancienne fontaine de Berou,non,"commune de Fontenay-sur-Eure, prend sa source à l’ancienne fontaine de Berou et se jette dans l’Eure."
DT28-04757,"Motte (La),",fief,Ansonville,non,"fief, à Ansonville, commune de la Chapelle-du-Noyer, vassal de Romainville."
DT28-04232,"Mantois,",doyenné,archidiaconé de Pinserais,non,"doyenné de l’archidiaconé de Pinserais, decanatus Meduntensis, ne comprenait dans le département d’Eure-et-Loir que les paroisses suivantes : Anet, Boncourt, Bu, Champagne, la Chaussee-d'Ivry, Faverolles, Gilles, Goussainville, Havelu, le Mesnil-Simon, Prouais, Rouvres, Saint-Sulpice et Saint-Lubin-de-la-Haye, Saint-Projet, Saussay, Sorel et Vert-en-Drouais."
DT28-03338,"Gué-Pleureur (Le),",gué,au-dessous de la Bénardière,non,"gué, au-dessous de la Bénardière, commune de Souancé."
DT28-04082,"Maillardière (La),",ruisseau,au-dessous de la Godelière,non,"ferme, commune de Saint-Jean-Pierre-Fixte, donne son nom à un ruisseau qui prend sa source au Jambin et à la Chevalerie, commune de Souancé, et se jette dans la Jambette au-dessous de la Godelière, commune de Nogent-le-Rotrou."
DT28-06667,Torrent (Le),ravin,au-dessus de Cloyes,28103,"ravin, prend son origine vers Boisgasson, contourne Langey et Montigny-le-Gannelon et se jette dans le Loir un peu au-dessus de Cloyes, près de l’ancien château de la Rochevert."
DT28-02952,"Gauterie (La),",ferme,Aubespine,non,"ferme à l’Aubespine, commune de Saumeray, aujourd’hui détruite."
DT28-01560,"Chassonville,",vassal,Auffains,non,"fief, commune du Gault-en-Beauce, vassal d’Auffains."
DT28-03999,"Lorville,",ancien fief vassal,Auffains,non,"ferme, commune de Sours ; ancien fief vassal d’Auffains."
DT28-05626,"le Franc-Rosier,",vassal,Auffains,non,"fief, commune de Baignolet, vassal d’Auffains."
DT28-06617,"les Terres-Démembrées,",pays,Avre,non,"ainsi nommées depuis qu’elles furent séparées de la couronne par Henri II en faveur d’Antoine de Bourbon, duc de Vendôme ; pays, faisant partie du Perche, était borné au N. par l’Avre, à l’E. par le Drouais, au S. E. par le pays Chartrain et à l’O. par le Grand-Perche."
DT28-00297,"Beauce (Doyenné de),",pays,Baignollet,28020,"Decanatus Castriduni ou Belsiæ, dépendant de l’archidiaconé de Dunois, comprenait, dans le département d’Eure-et-Loir, les paroisses d’Autheuil ; Bazoches-en-Dunois ; Baignollet ; Bourneville ; Courbehaye ; Cormainville ; Charray ; Donnemain-Saint-Mamert ; Dancy ; Fains ; Fontenay-sur-Conie ; Guillonville ; Jallans ; Lolon ; Lutz ; Loigny ; Moleans ; Moriers ; le Mee ; Nottonville ; Neuvy-en-Beauce ; Orgeres ; Ozoir-le-Breuil ; Pre-Saint-Martin ; Peronville ; Romilly-sur-Aigre ; la Chapelle-du-Noyer ; Saint-Denis-des-Ponts ; la Madeleine ; Saint-Aignan ; Saint-Lubin ; Saint-Médard ; Saint-Pierre et Saint-Valérien de Châteaudun ; Saint-Martin et Saint-Pierre de la Ferté-Villeneuil ; Saint-Georges et Saint-Lubin de Cloyes ; Notre-Dame ; Saint-Maurice ; Saint-Michel et Saint-Sauveur de Bonneval ; Saint-Maur ; le Gault-en-Beauce ; Sancheville ; Saint-Cloud ; Viabon ; Villampuy et Villiers-Saint-Orien."
DT28-04176,"Malades (Chemin des),",maladrerie,Banlieue,non,de la maladrerie de la Banlieue à celle du Grand-Beaulieu (commune de Chartres).
DT28-05463,"Planche-Bonne-Fille (La),",fief,Barre-des-Prés,non,"fief, à la Barre-des-Prés, commune de Chartres, vassal de l’évêché de Chartres."
